filename,sentence,original_mp3
common_voice_ta_19083401.wav,அன்றுநீர் சொன்னபடி அவ்விரண்டு மூலிகையைச்,common_voice_ta_19083401.mp3
common_voice_ta_19083402.wav,என்பகைவன்; உன்னாசை என்றன் ஆசை!,common_voice_ta_19083402.mp3
common_voice_ta_19083403.wav,தொங்கும் நரம்பின் தூளே! இதைக்கேள்:,common_voice_ta_19083403.mp3
common_voice_ta_19083404.wav,சிவனென்றும் அரியென்றும் சித்தார்த்த னென்றும்,common_voice_ta_19083404.mp3
common_voice_ta_19083405.wav,முற்றும் அறிந்திடக் கூடுமென்றே - அவள்,common_voice_ta_19083405.mp3
common_voice_ta_19083461.wav,தெளிவளிக்க இருட்கதவை உடைத்தெறிந்தான் பரிதி!,common_voice_ta_19083461.mp3
common_voice_ta_19083462.wav,நாடி வந்து நடுவிற் படுத்தாள்.,common_voice_ta_19083462.mp3
common_voice_ta_19083463.wav,பேசவொண் ணாதவர் ஊரினில் துஷ்டர்,common_voice_ta_19083463.mp3
common_voice_ta_19083464.wav,படமெடுத்தாடும்; தமிழர் பங்கமெலாம் போமே!,common_voice_ta_19083464.mp3
common_voice_ta_19083465.wav,முட்டைபோல் உதடுகள் முன்னே தோன்ற,common_voice_ta_19083465.mp3
common_voice_ta_19083472.wav,பெண்ணுக் கிதுதகுமோ? வண்ணமலர்ச் சோலையிலே,common_voice_ta_19083472.mp3
common_voice_ta_19083477.wav,"தோகையவள் ""என்காதல் துரையே கேளாய்!",common_voice_ta_19083477.mp3
common_voice_ta_19083478.wav,கொள்ளை கொடுத்தனன் உள்ளத்தினை! - அவள்,common_voice_ta_19083478.mp3
common_voice_ta_19083479.wav,தெருவினிலேபனி என்றாள். ஆமென்று சொன்னேன்;,common_voice_ta_19083479.mp3
common_voice_ta_19083480.wav,என்னைமுடி சூடுகென்றார். உங்கட் கெல்லாம்,common_voice_ta_19083480.mp3
common_voice_ta_19083496.wav,"குவிந்த உன் உடற்சதையைப் - பல		2	0	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083497.mp3	073f560d2afe4eeba686e5ee08b518e1fd6cbbfbd3c5df754e78a72601429448	என்று கூறி எழுந்து போனான்!இனிதாய்ப் பகல்மணி பனிரண் டானது		2	0	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083498.mp3	08ebb36d98c5d37dc069d50dd2a1c172e8881984c1fd4eb1614d04649cdca1b6	அன்னையும் ஆசானும் ஆருயிரைக் காப்பானும்		2	0	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083499.mp3	0283838685b1a3e77b95cb9dc13de9e9ae1855b8828edcff44620e554d422541	சாய்ந்த பாலை நக்கித் தன்தலை		2	0	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083512.mp3	19c3b270889987b0c3c08e8595b1a2b5717afb3f544ce69f2048a63313c73388	காய்ச்சும் இரும்பிடை நீர்த்துளி ஆகக்		2	1	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083513.mp3	0f6dadec2194441575ccf23c4775fea378cec4112f9e85d5c27192d10a1f930d	பூச்சூடு கின்றார்; புறக்கணித் தார்எனை!		2	0	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083514.mp3	0aa4b4f9fcb90ae4c5202880876681acc2a59d8fc106f8dc2b8fc3ca0617d234	எங்கள் அண்ணன் ஏறி வந்த		2	0	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083515.mp3	122678ec1ee6c80f6f70cb4591171e64e532f87af26402902958c47bcf9bd397	வேரோடு பேர்த்துவர வேண்டுமே ஐயாவே!",common_voice_ta_19083496.mp3
common_voice_ta_19083931.wav,"படிமீது வாழாரோ?"" என்று சொல்லிப்",common_voice_ta_19083931.mp3
common_voice_ta_19083932.wav,ரொம்ப நல்ல பழக்கம்,common_voice_ta_19083932.mp3
common_voice_ta_19083933.wav,ஏற்பாடு செய்யவா என்று கேட்டாள்.,common_voice_ta_19083933.mp3
common_voice_ta_19083934.wav,சமுகத்தை நொந்தான்.,common_voice_ta_19083934.mp3
common_voice_ta_19083935.wav,சிரமமொடு தாளமெண்ணிப் போட்டியிலே பாட்டுச்,common_voice_ta_19083935.mp3
common_voice_ta_19083941.wav,புத்தமு தென்றனர்; கைத்தாள மிட்டனர்;,common_voice_ta_19083941.mp3
common_voice_ta_19083942.wav,இன்புற்றார் என்று மற்றோர்,common_voice_ta_19083942.mp3
common_voice_ta_19083945.wav,என்று கூப்பிட எண்ண வேண்டாம்.,common_voice_ta_19083945.mp3
common_voice_ta_19083956.wav,"சுடுவேன் பாரடா சுடுவேன்"" என்று",common_voice_ta_19083956.mp3
common_voice_ta_19083957.wav,ஏழு வயதே எழிற்கருங் கண்மலர்!,common_voice_ta_19083957.mp3
common_voice_ta_19083959.wav,தொல்லுலக மக்களெலாம் யுஒன்றேரு என்னும்,common_voice_ta_19083959.mp3
common_voice_ta_19083960.wav,வஞ்சி கவனித்தாள். சத்தம் வரும்வழியாய்,common_voice_ta_19083960.mp3
