word,model,token_count,classification,tokens
மரம்,IndicTrans2,5,fragmented,▁|ம|ர|ம|்
நன்றி,IndicTrans2,6,fragmented,▁|ந|ன|்|ற|ி
உணவு,IndicTrans2,5,fragmented,▁|உ|ண|வ|ு
தண்ணீர்,IndicTrans2,8,fragmented,▁|த|ண|்|ண|ீ|ர|்
மக்கள்,IndicTrans2,7,fragmented,▁|ம|க|்|க|ள|்
படிக்கிறாள்,IndicTrans2,12,fragmented,▁|ப|ட|ி|க|்|க|ி|ற|ா|ள|்
சென்றார்கள்,IndicTrans2,12,fragmented,▁|ச|ெ|ன|்|ற|ா|ர|்|க|ள|்
பேசுகிறோம்,IndicTrans2,11,fragmented,▁|ப|ே|ச|ு|க|ி|ற|ோ|ம|்
வந்திருக்கிறான்,IndicTrans2,16,fragmented,▁|வ|ந|்|த|ி|ர|ு|க|்|க|ி|ற|ா|ன|்
செய்துகொண்டிருக்கிறார்கள்,IndicTrans2,26,fragmented,▁|ச|ெ|ய|்|த|ு|க|ொ|ண|்|ட|ி|ர|ு|க|்|க|ி|ற|ா|ர|்|க|ள|்
அரசாங்கம்,IndicTrans2,10,fragmented,▁|அ|ர|ச|ா|ங|்|க|ம|்
கணிப்பொறி,IndicTrans2,10,fragmented,▁|க|ண|ி|ப|்|ப|ொ|ற|ி
இணையம்,IndicTrans2,7,fragmented,▁|இ|ண|ை|ய|ம|்
பொருளாதாரம்,IndicTrans2,12,fragmented,▁|ப|ொ|ர|ு|ள|ா|த|ா|ர|ம|்
தமிழ்நாடு,IndicTrans2,10,fragmented,▁|த|ம|ி|ழ|்|ந|ா|ட|ு
சென்னை,IndicTrans2,7,fragmented,▁|ச|ெ|ன|்|ன|ை
கோயம்புத்தூர்,IndicTrans2,14,fragmented,▁|க|ோ|ய|ம|்|ப|ு|த|்|த|ூ|ர|்
மக்கள்தொகை,IndicTrans2,11,fragmented,▁|ம|க|்|க|ள|்|த|ொ|க|ை
விவசாயி,IndicTrans2,8,fragmented,▁|வ|ி|வ|ச|ா|ய|ி
செய்தி,IndicTrans2,7,fragmented,▁|ச|ெ|ய|்|த|ி
மரம்,NLLB-200,2,fragmented,▁ம|ரம்
நன்றி,NLLB-200,1,known,▁நன்றி
உணவு,NLLB-200,1,known,▁உணவு
தண்ணீர்,NLLB-200,2,fragmented,▁தண்ண|ீர்
மக்கள்,NLLB-200,1,known,▁மக்கள்
படிக்கிறாள்,NLLB-200,3,fragmented,▁படி|க்கிற|ாள்
சென்றார்கள்,NLLB-200,2,fragmented,▁சென்ற|ார்கள்
பேசுகிறோம்,NLLB-200,2,fragmented,▁பேசு|கிறோம்
வந்திருக்கிறான்,NLLB-200,3,fragmented,▁வந்த|ிருக்கிற|ான்
செய்துகொண்டிருக்கிறார்கள்,NLLB-200,5,fragmented,▁செய்து|கொ|ண்ட|ிருக்கிற|ார்கள்
அரசாங்கம்,NLLB-200,1,known,▁அரசாங்கம்
கணிப்பொறி,NLLB-200,5,fragmented,▁க|ணி|ப்ப|ொ|றி
இணையம்,NLLB-200,2,fragmented,▁இணைய|ம்
பொருளாதாரம்,NLLB-200,3,fragmented,▁பொருள|ாத|ாரம்
தமிழ்நாடு,NLLB-200,2,fragmented,▁தமிழ்|நாடு
சென்னை,NLLB-200,2,fragmented,▁செ|ன்னை
கோயம்புத்தூர்,NLLB-200,5,fragmented,▁கோ|ய|ம்பு|த்த|ூர்
மக்கள்தொகை,NLLB-200,4,fragmented,▁மக்கள|்த|ொ|கை
விவசாயி,NLLB-200,2,fragmented,▁விவசா|யி
செய்தி,NLLB-200,1,known,▁செய்தி
மரம்,mT5,2,fragmented,▁மர|ம்
நன்றி,mT5,1,known,▁நன்றி
உணவு,mT5,2,fragmented,▁உணவ|ு
தண்ணீர்,mT5,3,fragmented,▁த|ண்ணீர|்
மக்கள்,mT5,2,fragmented,▁|மக்கள்
படிக்கிறாள்,mT5,3,fragmented,▁படி|க்கிற|ாள்
சென்றார்கள்,mT5,2,fragmented,▁சென்ற|ார்கள்
பேசுகிறோம்,mT5,2,fragmented,▁பேச|ுகிறோம்
வந்திருக்கிறான்,mT5,3,fragmented,▁வந்த|ிருக்கிற|ான்
செய்துகொண்டிருக்கிறார்கள்,mT5,3,fragmented,▁செய்து|கொண்ட|ிருக்கிறார்கள்
அரசாங்கம்,mT5,3,fragmented,▁அரச|ாங்க|ம்
கணிப்பொறி,mT5,4,fragmented,▁கண|ிப்ப|ொ|றி
இணையம்,mT5,2,fragmented,▁இணை|யம்
பொருளாதாரம்,mT5,3,fragmented,▁பொருள|ாதார|ம்
தமிழ்நாடு,mT5,2,fragmented,▁தமிழ்|நாடு
சென்னை,mT5,2,fragmented,▁|சென்னை
கோயம்புத்தூர்,mT5,5,fragmented,▁கோ|ய|ம்பு|த்த|ூர்
மக்கள்தொகை,mT5,4,fragmented,▁|மக்கள்|தொ|கை
விவசாயி,mT5,3,fragmented,▁விவ|சாய|ி
செய்தி,mT5,1,known,▁செய்தி
மரம்,Helsinki,2,fragmented,▁|<unk>
நன்றி,Helsinki,2,fragmented,▁|<unk>
உணவு,Helsinki,2,fragmented,▁|<unk>
தண்ணீர்,Helsinki,2,fragmented,▁|<unk>
மக்கள்,Helsinki,2,fragmented,▁|<unk>
படிக்கிறாள்,Helsinki,2,fragmented,▁|<unk>
சென்றார்கள்,Helsinki,2,fragmented,▁|<unk>
பேசுகிறோம்,Helsinki,2,fragmented,▁|<unk>
வந்திருக்கிறான்,Helsinki,2,fragmented,▁|<unk>
செய்துகொண்டிருக்கிறார்கள்,Helsinki,2,fragmented,▁|<unk>
அரசாங்கம்,Helsinki,2,fragmented,▁|<unk>
கணிப்பொறி,Helsinki,2,fragmented,▁|<unk>
இணையம்,Helsinki,2,fragmented,▁|<unk>
பொருளாதாரம்,Helsinki,2,fragmented,▁|<unk>
தமிழ்நாடு,Helsinki,2,fragmented,▁|<unk>
சென்னை,Helsinki,2,fragmented,▁|<unk>
கோயம்புத்தூர்,Helsinki,2,fragmented,▁|<unk>
மக்கள்தொகை,Helsinki,2,fragmented,▁|<unk>
விவசாயி,Helsinki,2,fragmented,▁|<unk>
செய்தி,Helsinki,2,fragmented,▁|<unk>
மரம்,MADLAD,2,fragmented,▁மர|ம்
நன்றி,MADLAD,2,fragmented,▁ந|ன்றி
உணவு,MADLAD,2,fragmented,▁உண|வு
தண்ணீர்,MADLAD,3,fragmented,▁த|ண்ண|ீர்
மக்கள்,MADLAD,1,known,▁மக்கள்
படிக்கிறாள்,MADLAD,3,fragmented,▁படி|க்கிற|ாள்
சென்றார்கள்,MADLAD,2,fragmented,▁சென்ற|ார்கள்
பேசுகிறோம்,MADLAD,3,fragmented,▁பேச|ு|கிறோம்
வந்திருக்கிறான்,MADLAD,3,fragmented,▁வந்த|ிருக்கிற|ான்
செய்துகொண்டிருக்கிறார்கள்,MADLAD,4,fragmented,▁செய்து|கொண்ட|ிருக்கிறார்|கள்
அரசாங்கம்,MADLAD,3,fragmented,▁அரச|ாங்க|ம்
கணிப்பொறி,MADLAD,4,fragmented,▁கண|ிப்ப|ொ|றி
இணையம்,MADLAD,2,fragmented,▁இணை|யம்
பொருளாதாரம்,MADLAD,3,fragmented,▁பொருள|ாத|ாரம்
தமிழ்நாடு,MADLAD,2,fragmented,▁தமிழ்|நாடு
சென்னை,MADLAD,1,known,▁சென்னை
கோயம்புத்தூர்,MADLAD,5,fragmented,▁கோ|ய|ம்பு|த்த|ூர்
மக்கள்தொகை,MADLAD,4,fragmented,▁மக்கள்|த|ொ|கை
விவசாயி,MADLAD,3,fragmented,▁வி|வச|ாயி
செய்தி,MADLAD,1,known,▁செய்தி
