model,sentence_id,english,tamil,source_token_count,target_token_count,expansion_ratio,avg_word_length,subword_fragmentation,unknown_token_rate
IndicTrans2,0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""இப்போது எங்களிடம் 4 மாத வயது எலிகள் உள்ளன, அவை நீரிழிவு அல்லாதவை, அவை முன்பு நீரிழிவு நோயாளிகளாக இருந்தன"" என்று அவர் மேலும் கூறினார்.",30,133,4.433,0.872,1.1466,0.0
IndicTrans2,1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","நோவா ஸ்கோடியாவின் ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் எஹுத் உர், ஆராய்ச்சி இன்னும் அதன் ஆரம்ப நாட்களில் இருப்பதாக எச்சரித்தார்.",47,244,5.191,0.893,1.1193,0.0
IndicTrans2,2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","மற்ற சில நிபுணர்களைப் போலவே, நீரிழிவு நோயைக் குணப்படுத்த முடியுமா என்பது குறித்து அவருக்கு சந்தேகம் உள்ளது, இந்த கண்டுபிடிப்புகள் ஏற்கனவே வகை 1 நீரிழிவு நோயால் பாதிக்கப்பட்டவர்களுக்கு எந்த தொடர்பும் இல்லை என்பதைக் குறிப்பிடுகிறது.",34,230,6.765,0.891,1.122,0.0
IndicTrans2,3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்களன்று, ஸ்வீடிஷ் அகாடமியின் இலக்கியத்திற்கான நோபல் குழுவின் நிரந்தர செயலாளரான சாரா டேனியஸ், ஸ்வீடனில் உள்ள ஸ்வெரிஜஸ் வானொலியில் ஒரு வானொலி நிகழ்ச்சியின் போது பகிரங்கமாக அறிவித்தார், 2016 ஆம் ஆண்டின் இலக்கியத்திற்கான நோபல் பரிசை வெல்வது குறித்து பாப் டிலானை நேரடியாக அணுக முடியாமல், அவரை அணுகுவதற்கான முயற்சிகளை குழு கைவிட்டது.",62,327,5.274,0.896,1.116,0.0
IndicTrans2,4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","டேனியஸ் கூறினார், ""இப்போது நாங்கள் எதுவும் செய்யவில்லை. நான் அவரது நெருங்கிய ஒத்துழைப்பாளரை அழைத்து மின்னஞ்சல்களை அனுப்பியுள்ளேன், மேலும் மிகவும் நட்பான பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது நிச்சயமாக போதுமானது"".",41,216,5.268,0.903,1.1077,0.0
IndicTrans2,5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","முன்னதாக, ரிங்கின் தலைமை நிர்வாக அதிகாரி ஜேமி சிமினோஃப், தனது கேரேஜில் உள்ள தனது கடையில் இருந்து அவரது கதவு மணி கேட்கப்படாதபோது நிறுவனம் தொடங்கியது என்று குறிப்பிட்டார்.",34,170,5.0,0.876,1.1409,0.0
IndicTrans2,6,"He built a WiFi door bell, he said.","அவர் ஒரு வைஃபை கதவு மணியை உருவாக்கினார், என்றார்.",13,50,3.846,0.86,1.1628,0.0
IndicTrans2,7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"2013 ஆம் ஆண்டு ஷார்க் டேங்க் எபிசோடில் தோன்றிய பின்னர் விற்பனை அதிகரித்ததாக சிமினோஃப் கூறினார், அங்கு நிகழ்ச்சி குழு தொடக்கத்திற்கு நிதியளிக்க மறுத்துவிட்டது.",27,155,5.741,0.91,1.0993,0.0
IndicTrans2,8,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 ஆம் ஆண்டின் பிற்பகுதியில், சிமினோஃப் ஷாப்பிங் தொலைக்காட்சி சேனலான கியூ. வி. சி. யில் தோன்றினார்.",18,98,5.444,0.908,1.1011,0.0
IndicTrans2,9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",போட்டி பாதுகாப்பு நிறுவனமான ஏடிடி கார்ப்பரேஷனுடன் ஒரு வழக்கையும் ரிங் தீர்த்துக் கொண்டார்.,17,91,5.353,0.89,1.1235,0.0
