source_english,reference_tamil,pred_Helsinki,pred_mT5,pred_NLLB-200,pred_IndicTrans2,pred_MADLAD
"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்.""","""நமக்கு 4 மாத வயது மூட்டுகள் உள்ளன.","▁"" We ▁now ▁have ▁4- month - old ▁ mice ▁that ▁are ▁non - dia bet ic ▁that ▁used ▁to ▁be ▁diabeti c ,"" ▁he ▁ added . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","""நாங்கள் இப்போது 4 மாத வயதுடைய எலிகள் உள்ளன, அவை நீரிழிவு நோய் இல்லாதவை, அவை முன்பு நீரிழிவு நோயால் பாதிக்கப்பட்டவை"", என்று அவர் மேலும் கூறினார்.","""இப்போது எங்களிடம் 4 மாத வயது எலிகள் உள்ளன, அவை நீரிழிவு அல்லாதவை, அவை முன்பு நீரிழிவு நோயாளிகளாக இருந்தன"" என்று அவர் மேலும் கூறினார்.","""நாங்கள் இப்போது4மாத வயதான சுறாக்களைக் கொண்டுள்ளோம், அவை நீரிழிவு நோய் இல்லாதவை, அவற்றுக்கு நீரிழப்பு இருந்தது,"" என்று அவர் மேலும் கூறினார்."
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்.","இந்த ஆராய்ச்சி இன்னும் ஆரம்பத்திலேயே இருக்கிறது என்று கனடா நாட்டு சர்க்கரை வியாதி சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் மருத்துவ நிபுணரான டாக்டர் ஏகூத் யூனிவர்சிட்டி, ஹால்ஃபாக்ஸ், ஹால்ஃபாக்ஸ் பல்கலைக்கழகத்தில் உள்ள டால்சோசி பல்கலைக்கழகத்தில் மருத்துவ பேராசிரியர் ஆவார்.","▁Dr . ▁E hud ▁Ur , ▁professor ▁of ▁medicine ▁at ▁Dal hou sie ▁University ▁in ▁Hali fax , ▁Nova ▁Scot ia ▁and ▁chair ▁of ▁the ▁c linical ▁and ▁scientific ▁division ▁of ▁the ▁ Canadian ▁Diabetes ▁Association ▁c aution ed ▁that ▁the ▁research ▁is ▁still ▁in ▁its ▁ early ▁days . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","ஹாலிஃபாக்ஸில் உள்ள டால்ஹூஸி பல்கலைக்கழகத்தில் மருத்துவப் பேராசிரியரும், கனடிய நீரிழிவு நோய் சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவரும் டாக்டர் எஹுட் உர், இந்த ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில் உள்ளது என்று எச்சரித்தார்.","நோவா ஸ்கோடியாவின் ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் எஹுத் உர், ஆராய்ச்சி இன்னும் அதன் ஆரம்ப நாட்களில் இருப்பதாக எச்சரித்தார்.","ஹாலிஃபாக்ஸ், நோவா ஸ்கோசியாவில் உள்ள டால்ஹவுசி பல்கலைக்கழகத்தில் மருத்துவப் பேராசிரியரும், கனடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் எஹூட் உர், இந்த ஆராய்ச்சி இன்னும் ஆரம்ப கட்டத்தில் இருப்பதாக எச்சரித்தார்."
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்.","மற்ற சில நிபுணர்களைப் போலவே, சர்க்கரை வியாதி குணமா என்பதை சந்தேகிக்கிறார்.","▁Like ▁some ▁other ▁ experts , ▁he ▁is ▁ ske ptical ▁about ▁w hether ▁diabetes ▁can ▁be ▁cur ed , ▁not ing ▁that ▁ these ▁ finding s ▁have ▁no ▁relevan ce ▁to ▁people ▁who ▁ already ▁have ▁Type ▁1 ▁diabetes . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","சில நிபுணர்களைப் போலவே, நீரிழிவு நோயை குணப்படுத்த முடியுமா என்று அவர் சந்தேகிக்கிறார், இந்த கண்டுபிடிப்புகள் ஏற்கனவே வகை 1 நீரிழிவு நோயால் பாதிக்கப்பட்டவர்களுக்கு பொருந்தாது என்று குறிப்பிடுகிறார்.","மற்ற சில நிபுணர்களைப் போலவே, நீரிழிவு நோயைக் குணப்படுத்த முடியுமா என்பது குறித்து அவருக்கு சந்தேகம் உள்ளது, இந்த கண்டுபிடிப்புகள் ஏற்கனவே வகை 1 நீரிழிவு நோயால் பாதிக்கப்பட்டவர்களுக்கு எந்த தொடர்பும் இல்லை என்பதைக் குறிப்பிடுகிறது.","மற்ற சில நிபுணர்களைப் போலவே, அவர் நீரிழிவு நோயை குணப்படுத்த முடியுமா என்று சந்தேகிக்கிறார், இந்த கண்டுபிடிப்புகள் ஏற்கனவே வகை 1 நீரிழப்பு உள்ள மக்களுக்கு பொருந்தாது என்று குறிப்பிட்டார்."
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்.","திங்கட்கிழமை, ஸ்வீடனிலுள்ள ஸ்வீடனிலுள்ள ஸ்வீடனிலுள்ள ரீகெக்ஸஸ் ரேடியோவில் ஒரு ரேடியோ நிகழ்ச்சியின்போது வெளியரங்கமாக அறிவித்தார்.","▁On ▁Monday , ▁Sara ▁Dani us , ▁permanent ▁ secretary ▁of ▁the ▁Nobel ▁Committee ▁for ▁ Literature ▁at ▁the ▁ Swedish ▁Academy , ▁public ly ▁ announced ▁ during ▁ a ▁radio ▁program ▁on ▁Sverige s ▁Radio ▁in ▁Sweden ▁the ▁ committee , ▁un able ▁to ▁ reach ▁Bob ▁D ylan ▁direct ly ▁about ▁ winning ▁the ▁2016 ▁Nobel ▁Priz e ▁in ▁ Literature , ▁had ▁abandon ed ▁its ▁ efforts ▁to ▁ reach ▁him . </s>","திங்களன்று, ஸ்வீடிஷ் அகாடமியில் இலக்கியத்திற்கான நோபல் குழுவின் நிரந்தர செயலாளர் சாரா டானியஸ், ஸ்வீடனில் உள்ள ஸ்வெர்டிஸ் வானொலி நிகழ்ச்சியின் போது வெளிப்படையாக அறிவித்தார், இந்த குழு, 2016 இலக்கியத்திற்கான நோபல் பரிசை வென்றதற்காக போப் டிலனை நேரடியாக தொடர்பு கொள்ள முடியவில்லை, அவரை அடைய தனது முயற்சிகளை கைவிட்டதாக அறிவித்தது.","திங்களன்று, ஸ்வீடிஷ் அகாடமியின் இலக்கியத்திற்கான நோபல் குழுவின் நிரந்தர செயலாளரான சாரா டேனியஸ், ஸ்வீடனில் உள்ள ஸ்வெரிஜஸ் வானொலியில் ஒரு வானொலி நிகழ்ச்சியின் போது பகிரங்கமாக அறிவித்தார், 2016 ஆம் ஆண்டின் இலக்கியத்திற்கான நோபல் பரிசை வெல்வது குறித்து பாப் டிலானை நேரடியாக அணுக முடியாமல், அவரை அணுகுவதற்கான முயற்சிகளை குழு கைவிட்டது.","2016 ஆம் ஆண்டு இலக்கியத்திற்கான நோபல் பரிசு வென்ற பாப் டிலானை நேரடியாகத் தொடர்பு கொள்ள முடியாமல் போனது குறித்து, சுவீடிஷ் அகாதெமியில் இலக்கியத்துக்கான நோபெல் கமிட்டியின் நிரந்தர செயலாளர் சாரா டானியஸ், சுவிட்சர்லாந்தில் உள்ள ஸ்வெர்ஜெஸ் ரேடியோவில் ஒரு வானொலி நிகழ்ச்சியில் தெரிவிக்கையில், அவரை அடைய தனது முயற்சிகளை கைவிட்டதாக அறிவித்தார்."
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""""""இப்போது நாம் ஒன்றும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைப்பு செய்து மின்னஞ்சல்களை அனுப்பி, மிகவும் நட்புடன் பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது போதுமானது."""" என்று டானியஸ் கூறினார்.""","""ஆம், நாங்கள் ஒன்றும் செய்யவில்லை. நான் தொலைபேசிகளை அவருடைய மிக நெருங்கிய துணைவரிடம் அனுப்பியுள்ளேன். மிகவும் சிநேகப்பான்மையான பதில்கள் பெற்றேன். இப்போது அது போதுமானது"" என்று கூறினார்.","▁Dani us ▁said , ▁"" Right ▁now ▁we ▁are ▁do ing ▁ nothing . ▁I ▁have ▁ called ▁and ▁sent ▁email s ▁to ▁his ▁ closest ▁collaborat or ▁and ▁receive d ▁ very ▁friendly ▁repli es . ▁For ▁now , ▁that ▁is ▁ certain ly ▁ enough ."" </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","டானியஸ் கூறினார், ""இப்போது நாங்கள் எதுவும் செய்யவில்லை. நான் அவரது நெருங்கிய ஒத்துழைப்பாளருக்கு அழைத்து மின்னஞ்சல்களை அனுப்பியுள்ளேன் மற்றும் மிகவும் நட்பான பதில்களைப் பெற்றேன். இப்போதைக்கு, அது நிச்சயமாக போதுமானது. ""","டேனியஸ் கூறினார், ""இப்போது நாங்கள் எதுவும் செய்யவில்லை. நான் அவரது நெருங்கிய ஒத்துழைப்பாளரை அழைத்து மின்னஞ்சல்களை அனுப்பியுள்ளேன், மேலும் மிகவும் நட்பான பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது நிச்சயமாக போதுமானது"".","Danius கூறினார், ""இப்போது நாங்கள் எதையும் செய்யவில்லை. நான் அவரது நெருங்கிய உதவியாளர்களை அழைத்து மின்னஞ்சல் அனுப்பினேன் மற்றும் மிகவும் நட்பான பதில்களை பெற்றேன். இப்பொழுது, அது நிச்சயமாக போதுமானது."""
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","முன்பு, ரிங்க்ஸின் சீஈஓ ஜேமி ஸிமினாஃப், அவருக்கு அவரது கேரேஜினுள் உள்ள கடைக்குள் கதவு அறிவிப்பு மணியின் ஒலி கேட்காத காரணத்தால், அந்த நிறுவனம் துவங்கப்பட்டது என்பதை குறிப்பிட்டார்.","முன்பு, ரிக்ஸின் CEO, ஜேமி சிமினியோஃப், அந்த நிறுவனம் தொடங்கியது அவரது வாயிலில் இருந்து அவரது கடையில் இருந்து ஒரு ஒலி கேட்கவில்லை.","▁Previous ly , ▁Ring ' s ▁CEO , ▁ Jamie ▁S imin off , ▁re marked ▁the ▁company ▁ started ▁ when ▁his ▁door bell ▁was n ' t ▁ audible ▁from ▁his ▁shop ▁in ▁his ▁garage . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","முன்னதாக, ரிங்கின் தலைமை நிர்வாக அதிகாரி, ஜேமி சிமினோஃப், தனது கேரஜில் உள்ள தனது கடையில் இருந்து அவரது கதவு மணி கேட்கப்படாதபோது நிறுவனம் தொடங்கியது என்று குறிப்பிட்டார்.","முன்னதாக, ரிங்கின் தலைமை நிர்வாக அதிகாரி ஜேமி சிமினோஃப், தனது கேரேஜில் உள்ள தனது கடையில் இருந்து அவரது கதவு மணி கேட்கப்படாதபோது நிறுவனம் தொடங்கியது என்று குறிப்பிட்டார்.","முன்னதாக, ரிங்கின் தலைமை செயல் அதிகாரி, ஜேமி சிமினோஃப், அவரது கார்கரேவில் உள்ள அவரது கடையில் இருந்து அவரது கதவு பெல்லை கேட்க முடியாதபோது நிறுவனம் தொடங்கப்பட்டது என்று குறிப்பிட்டார்."
"He built a WiFi door bell, he said.","அவர், தான் வைஃபை கதவு அறிவிப்பு மணியை உருவாக்கியதாகக் கூறினார்.","அவர் ஒரு WiFi கதவு மணியை கட்டினார், அவர் கூறினார்.","▁He ▁ built ▁ a ▁WiFi ▁door ▁bell , ▁he ▁said . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","அவர் ஒரு வைஃபை கதவு மணி கட்டப்பட்டது, அவர் கூறினார்.","அவர் ஒரு வைஃபை கதவு மணியை உருவாக்கினார், என்றார்.","அவர் ஒரு Wi-Fi கதவு பெல் கட்டினார், அவர் கூறினார்."
Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"ஸிமினாஃப், 2013 ஆம் ஆண்டு ஷார் டேங்க் தொடரில் தான் தோன்றியது மற்றும் அவர்கள் தன் ஸ்டார்ட் அப் நிறுவனத்திற்கு பணம் அளிக்க மறுத்ததன் பின்னர் அவரது விற்பனை பெருகியது என்று தெரிவித்தார்.","சிமினியோஃப், 2013 - ல் அவர் தோன்றி, ஒரு சுறா விரிகுடாவைச் சேர்ந்தபோது விற்பனைகள் அதிகரித்தன என்று சொன்னார்.",▁S imin off ▁said ▁sales ▁boost ed ▁after ▁his ▁2013 ▁ appearance ▁in ▁ a ▁Shark ▁Tank ▁episode ▁ where ▁the ▁show ▁panel ▁declin ed ▁ funding ▁the ▁startup . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,"ஷார்க் டேங்க் எபிசோடில் 2013 இல் அவர் தோன்றிய பின்னர் விற்பனை அதிகரித்தது என்று சிமினோவ் கூறினார், அங்கு நிகழ்ச்சி குழு ஸ்டார்ட்அப்பை நிதியளிப்பதை மறுத்தது.","2013 ஆம் ஆண்டு ஷார்க் டேங்க் எபிசோடில் தோன்றிய பின்னர் விற்பனை அதிகரித்ததாக சிமினோஃப் கூறினார், அங்கு நிகழ்ச்சி குழு தொடக்கத்திற்கு நிதியளிக்க மறுத்துவிட்டது.","ஷார்க் டான்க் நிகழ்ச்சியில் தனது 2013 தோற்றத்திற்குப் பிறகு விற்பனை அதிகரித்ததாக சிமினோஃப் கூறினார், அங்கு நிகழ்ச்சி குழுவினர் தொடங்குவதற்கு நிதியுதவி அளிக்க மறுத்தனர்."
"In late 2017, Siminoff appeared on shopping television channel QVC.","சிமினோஃப் 2017 இன் பிற்பகுதியில், ஷாப்பிங் தொலைக்காட்சி சேனலான QVC இல் தோன்றினார்.","2017 -⁠ ன் பிற்பகுதியில், ஸிமினிஃபோ தொலைக்காட்சி அலைவரிசையில் QVC -⁠ ல் காட்சியளித்தார்.","▁In ▁late ▁2017, ▁S imin off ▁ appear ed ▁on ▁shopping ▁television ▁channel ▁Q VC . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","2017 ஆம் ஆண்டின் பிற்பகுதியில், சிமினோவ் ஷாப்பிங் தொலைக்காட்சி சேனல் QVC இல் தோன்றினார்.","2017 ஆம் ஆண்டின் பிற்பகுதியில், சிமினோஃப் ஷாப்பிங் தொலைக்காட்சி சேனலான கியூ. வி. சி. யில் தோன்றினார்.","2017 ஆம் ஆண்டின் இறுதியில், சிமினோஃப் ஷாப்பிங் தொலைக்காட்சி அலைவரிசை QVC இல் தோன்றினார்."
"Ring also settled a lawsuit with competing security company, the ADT Corporation.",ரிங் அதன் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் உரிமை கோரல் வழக்கை தீர்த்துக் கொண்டது.,"அந்த ஏடி கம்ப்யூட்டரில், போட்டியாளர் பாதுகாப்பு நிறுவனம் ஒரு சட்டத்தொகுதியை நிறுவியது.","▁Ring ▁also ▁se ttled ▁ a ▁law suit ▁with ▁competi ng ▁security ▁company , ▁the ▁ ADT ▁Corporation . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",ரிங் மேலும் போட்டியிடும் பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் வழக்குத் தீர்த்தது.,போட்டி பாதுகாப்பு நிறுவனமான ஏடிடி கார்ப்பரேஷனுடன் ஒரு வழக்கையும் ரிங் தீர்த்துக் கொண்டார்.,ரிங்கின் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் ஒரு வழக்கையும் தீர்த்து வைத்தது.
